Team,Seed,Bracket Position
Ohio State,1,1
Alabama St,16,2
George Mason,8,3
Villanova,9,4
West Virgina,5,5
UAB,12,6
Kentucky,4,7
Princeton,13,8
Xavier,6,9
Marquette,11,10
Syracuse,3,11
Indiana St.,14,12
Washington,7,13
Georgia,10,14
UNC,2,15
LIU,15,16
Duke,1,17
Hampton,16,18
Michigan,8,19
Tennessee,9,20
Arizona,5,21
Memphis,12,22
Texas,4,23
Oakland,13,24
Cincinnati,6,25
Missouri,11,26
UCONN,3,27
Bucknell,14,28
Temple,7,29
Penn St.,10,30
San Diego St.,2,31
No. Colorado,15,32
Kansas,1,33
Boston U.,16,34
UNLV,8,35
Illinois,9,36
Vanderbilt,5,37
Richmond,12,38
Louisville,4,39
Morehead St.,13,40
Georgetown,6,41
VCU,11,42
Purdue,3,43
St. Peter's,14,44
Texas A&M,7,45
Florida St.,10,46
Notre Dame,2,47
Akron,15,48
Pittsburgh,1,49
UNCA,16,50
Butler,8,51
Old Dominion,9,52
Kansas St.,5,53
Utah St.,12,54
Wisconsin,4,55
Belmont,13,56
St. John's,6,57
Gonzaga,11,58
BYU,3,59
Wofford,14,60
UCLA,7,61
Michigan St.,10,62
Florida,2,63
UCSB,15,64
